case,odds_ratio,ci_low,ci_high,log_odds,ci_log_low,ci_log_high,disaster_type,pvalue,sHDI_category,deviation_category,npoints,impact,significance,alpha_sig
Medium sHDI - nat-average : Very high sHDI,1.4988079347899468,0.19137760563673956,116.59754040508432,0.40467008201862226,-1.653506809751506,4.758728179397886,Cold wave,0.8363395609152815,Medium sHDI,nat-average,31,Likelihood affected,.,0.2
Medium sHDI - worse-off : Very high sHDI,5.258469808529669,0.2859534570070612,577.4839843368643,1.6598400735009082,-1.2519262191430551,6.35868070926137,Cold wave,0.4385404079197024,Medium sHDI,worse-off,19,Likelihood affected,.,0.2
High sHDI - better-off : Very high sHDI,0.16770357609391545,0.035304546613767696,0.825026458436039,-1.7855572860278275,-3.343743524079923,-0.19233982233015187,Wildfire,0.02183116453765467,High sHDI,better-off,135,Likelihood affected,* ,1
High sHDI - nat-average : Very high sHDI,3.4397902585106004,0.2043017527566104,20.805031064062874,1.2354104981632803,-1.5881571978678524,3.0351948355394316,Wildfire,0.29565134296255013,High sHDI,nat-average,145,Likelihood affected,.,0.2
High sHDI - worse-off : Very high sHDI,0.038047513752528794,0.005237591382531421,0.2005435756593206,-3.268919538398553,-5.251893546147395,-1.606723720890129,Wildfire,7.318554827211323e-4,High sHDI,worse-off,132,Likelihood affected, *** ,1
Low sHDI - better-off : Very high sHDI,3.2574545898271032,1.5602219402346948,13.115450786311305,1.1809460897284785,0.44482808052333167,2.5737909845399054,Wildfire,0.03297546532496439,Low sHDI,better-off,128,Likelihood affected,* ,1
Low sHDI - nat-average : Very high sHDI,0.2666326715244595,0.041854841798859475,1.2798283424470076,-1.3218833298920893,-3.173547794620195,0.24672596147504058,Wildfire,0.11576225625663687,Low sHDI,nat-average,136,Likelihood affected,.,0.2
Low sHDI - worse-off : Very high sHDI,0.13185849927354465,0.018142633618883727,0.6832806791211454,-2.0260259065725443,-4.009490661873761,-0.38084955343134286,Wildfire,0.026779376557915277,Low sHDI,worse-off,131,Likelihood affected,* ,1
Medium sHDI - better-off : Very high sHDI,2.2801036858284225,0.05362930334110546,11.621963344575859,0.8242209181728727,-2.925659656168534,2.452896699679248,Wildfire,0.45077450098278593,Medium sHDI,better-off,130,Likelihood affected,.,0.2
Medium sHDI - nat-average : Very high sHDI,0.1930107251016891,0.06422224221149407,0.855004342725571,-1.6450095211461602,-2.7454056763943897,-0.1566487308470818,Wildfire,0.01195663391077707,Medium sHDI,nat-average,142,Likelihood affected,* ,1
Medium sHDI - worse-off : Very high sHDI,1.057435786187061,0.005085068537332149,6.112702311221136,0.055846907812884566,-5.2814467712377065,1.8103689522035533,Wildfire,0.9748616674870365,Medium sHDI,worse-off,133,Likelihood affected,.,0.2
High sHDI - better-off : Very high sHDI,1.35696714239001,0.37328487741911875,3.8563824367405157,0.30525216714028264,-0.985413404412259,1.349729551482946,All types,0.6159837828422539,High sHDI,better-off,1435,Likelihood fatalities,.,0.2
High sHDI - nat-average : Very high sHDI,0.9187188365627004,0.3214850422208882,2.475470118837456,-0.08477514841790304,-1.1348042613606923,0.9064303249880381,All types,0.8715129721094654,High sHDI,nat-average,1787,Likelihood fatalities,.,0.2
High sHDI - worse-off : Very high sHDI,3.3002867225627557,0.9173867730980018,9.763549425817073,1.1940093503231748,-0.08622611473638686,2.278656004990827,All types,0.047122979426416564,High sHDI,worse-off,1253,Likelihood fatalities,* ,1
Low sHDI - better-off : Very high sHDI,2.2708423980596946,0.7991631172471616,6.076827825153081,0.8201508631193896,-0.224190202303357,1.8044828205407428,All types,0.12129800616314769,Low sHDI,better-off,1426,Likelihood fatalities,.,0.2
